[11/30 17:05:41]    DEBUG | Initial log file: logs/2bf63212-b6dd-4ac0-90de-9aac51902271.log (log.py:100)
[11/30 17:05:41]    DEBUG | Installed via git, config-examples is in the local folder. (utils.py:139)
[11/30 17:05:41]     INFO | Checking for updates... (utils.py:64)
[11/30 17:05:41]     INFO | Bot is updated. (utils.py:78)
[11/30 17:05:41]     INFO | GramAddict v.3.2.12 (utils.py:81)
[11/30 17:05:41]     INFO | Loading plugins . . . (plugin_loader.py:30)
[11/30 17:05:41]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - DBInitPlugin: Initialize NocoDB tables at session start (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - NocoDBRecordCreationTest: Test plugin specifically for verifying NocoDB record creation functionality (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - NocoDBStorage: Store interaction data in NocoDB (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[11/30 17:05:41]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[11/30 17:05:41]    DEBUG | Arguments used: --config e:\PROJECTS\instagram automation\virtualinfluencer\accounts\quecreate\config.yml --use-nocodb --debug (config.py:160)
[11/30 17:05:41]    DEBUG | Config used: {'allow-untested-ig-version': False, 'app-id': 'com.instagram.android', 'blogger-followers': ['ledianaprengaa'], 'carousel-count': '20-30', 'carousel-percentage': '60-70', 'close-apps': False, 'count-app-crashes': False, 'debug': False, 'delete-interacted-users': True, 'disable-block-detection': False, 'disable-filters': False, 'dont-type': False, 'end-if-comments-limit-reached': False, 'end-if-follows-limit-reached': False, 'end-if-likes-limit-reached': False, 'end-if-pm-limit-reached': False, 'end-if-watches-limit-reached': False, 'fling-when-skipped': 0, 'follow-limit': 50, 'follow-percentage': '30-40', 'init-db': True, 'interact-percentage': '30-40', 'interactions-count': '300-400', 'kill-atx-agent': False, 'likes-count': '1-2', 'likes-percentage': 100, 'max-comments-pro-user': '1-2', 'min-following': 10, 'restart-atx-agent': False, 'screen-record': False, 'screen-sleep': True, 'shuffle-jobs': True, 'skipped-list-limit': '10-15', 'skipped-posts-limit': 5, 'speed-multiplier': 1.5, 'stories-count': '10-20', 'stories-percentage': '30-40', 'telegram-reports': False, 'total-comments-limit': '3-50', 'total-crashes-limit': 5, 'total-follows-limit': '40-50', 'total-interactions-limit': '280-300', 'total-likes-limit': '120-150', 'total-pm-limit': '3-5', 'total-scraped-limit': '100-150', 'total-successful-interactions-limit': '120-150', 'total-unfollows-limit': '40-50', 'total-watches-limit': '120-150', 'truncate-sources': '2-5', 'use-cloned-app': False, 'use-nocodb': True, 'watch-photo-time': '3-4', 'watch-video-time': '20-40'} (config.py:162)
