[11/28 12:20:00]    DEBUG | Initial log file: logs/d4110401-14a5-490d-97aa-4dff3088320c.log (log.py:100)
[11/28 12:20:00]     INFO | It's strongly recommend to use a config.yml file. Follow these links for more details: https://docs.gramaddict.org/#/configuration and https://github.com/GramAddict/bot/tree/master/config-examples (bot_flow.py:64)
[11/28 12:20:03]    DEBUG | Installed via git, config-examples is in the local folder. (utils.py:139)
[11/28 12:20:03]     INFO | Checking for updates... (utils.py:64)
[11/28 12:20:03]     INFO | Bot is updated. (utils.py:78)
[11/28 12:20:03]     INFO | GramAddict v.3.2.12 (utils.py:81)
[11/28 12:20:03]     INFO | Loading plugins . . . (plugin_loader.py:30)
[11/28 12:20:03]     INFO |   - ActionUnfollowFollowers: Handles the functionality of unfollowing your followers (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - ClonedApp: Adds support for cloned apps (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - CoreArguments: Simply adds core arguments (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - DataAnalytics: Generates a PDF analytics report of current username session data (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - DBInitPlugin: Initialize NocoDB tables at session start (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractBloggerFollowers_Following: Handles the functionality of interacting with a bloggers followers/following (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractBloggerPostLikers: Handles the functionality of interacting with a blogger post likers (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractOwnFeed: Handles the functionality of interacting with your own feed (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractHashtagLikers: Handles the functionality of interacting with a hashtags likers (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractHashtagPosts: Handles the functionality of interacting with a hashtags post owners (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractPlaceLikers: Handles the functionality of interacting with a places likers (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - InteractPlacePosts: Handles the functionality of interacting with a places post owners (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - LikeFromURLs: Likes a post from url. The urls are read from a plaintext file (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - NocoDBRecordCreationTest: Test plugin specifically for verifying NocoDB record creation functionality (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - NocoDBStorage: Store interaction data in NocoDB (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - RemoveFollowersFromList: Remove account followers from a list of usernames (plugin_loader.py:45)
[11/28 12:20:03]     INFO |   - TelegramReports: Generate reports at the end of the session and send them using telegram (plugin_loader.py:45)
[11/28 12:20:03]    DEBUG | Arguments used:  (config.py:160)
